"id","car_model_id","name","year_begin","year_end","created_at","updated_at"
"57","78","Audi 80 II (B1)","1972","1978",NULL,NULL
"59","82","Audi A3 III (8V)","2012",NULL,NULL,NULL
"60","82","Audi A3 II (8P)","2003","2013",NULL,NULL
"61","82","Audi A3 I (8L)","1996","2003",NULL,NULL
"62","84","Audi A4 IV (B8) Рестайлинг","2011",NULL,NULL,NULL
"63","84","Audi A4 IV (B8)","2007","2011",NULL,NULL
"64","84","Audi A4 III (B7)","2004","2009",NULL,NULL
"65","84","Audi A4 II (B6)","2000","2006",NULL,NULL
"66","84","Audi A4 I (B5)","1995","2001",NULL,NULL
"67","85","Audi A5 I Рестайлинг","2011",NULL,NULL,NULL
"68","85","Audi A5 I","2007","2011",NULL,NULL
"69","86","Audi A6 allroad III (C7)","2012","2014",NULL,NULL
"70","86","Audi A6 allroad II (C6)","2006","2012",NULL,NULL
"71","86","Audi A6 allroad I (C5)","2000","2006",NULL,NULL
"72","89","Audi A8 III (D4) Рестайлинг","2013",NULL,NULL,NULL
"73","89","Audi A8 III (D4)","2010","2013",NULL,NULL
"74","89","Audi A8 II (D3)","2002","2010",NULL,NULL
"75","89","Audi A8 I (D2)","1994","2002",NULL,NULL
"76","97","Audi R8 I Рестайлинг","2012",NULL,NULL,NULL
"77","97","Audi R8 I","2007","2012",NULL,NULL
"78","101","Audi RS4 III (B8)","2012",NULL,NULL,NULL
"79","101","Audi RS4 II (B7)","2005","2012",NULL,NULL
"80","101","Audi RS4 I (B5)","1999","2001",NULL,NULL
"81","103","Audi RS6 III (C7)","2012","2014",NULL,NULL
"82","103","Audi RS6 II (C6)","2007","2012",NULL,NULL
"83","103","Audi RS6 I (C5)","2002","2006",NULL,NULL
"86","107","Audi S3 III (8V)","2012",NULL,NULL,NULL
"87","107","Audi S3 II (8P)","2008","2012",NULL,NULL
"88","107","Audi S3 I (8L)","1999","2003",NULL,NULL
"89","109","Audi S5 I Рестайлинг","2011",NULL,NULL,NULL
"90","109","Audi S5 I","2007","2011",NULL,NULL
"91","110","Audi S6 IV (C7)","2012","2014",NULL,NULL
"92","110","Audi S6 III (C6)","2006","2012",NULL,NULL
"93","110","Audi S6 II (C5)","1999","2006",NULL,NULL
"94","110","Audi S6 I (C4)","1994","1997",NULL,NULL
"95","112","Audi S8 III (D4) Рестайлинг","2013",NULL,NULL,NULL
"96","112","Audi S8 III (D4)","2012","2013",NULL,NULL
"97","112","Audi S8 II (D3)","2005","2011",NULL,NULL
"98","112","Audi S8 I (D2)","1996","2002",NULL,NULL
"99","114","Audi TT II (8J)","2006","2014",NULL,NULL
"100","114","Audi TT I (8N)","1998","2006",NULL,NULL
"101","119","Austin Maxi II","1980","1982",NULL,NULL
"102","119","Austin Maxi I","1969","1980",NULL,NULL
"104","123","Austin Princess I","1975","1978",NULL,NULL
"105","123","Austin Princess II","1972","1982",NULL,NULL
"106","128","Bentley Arnage II","2002","2009",NULL,NULL
"107","128","Bentley Arnage I","1998","2002",NULL,NULL
"108","130","Bentley Brooklands II","2008","2011",NULL,NULL
"109","130","Bentley Brooklands I","1994","1998",NULL,NULL
"111","133","Bentley Continental GT II","2011",NULL,NULL,NULL
"112","133","Bentley Continental GT I","2003","2013",NULL,NULL
"113","138","Bertone Freeclimber II","1992","1995",NULL,NULL
"114","138","Bertone Freeclimber I","1989","1992",NULL,NULL
"115","141","BMW 1er II (F20-F21)","2011",NULL,NULL,NULL
"116","141","BMW 1er I (E81-E88)","2004","2013",NULL,NULL
"117","144","BMW 3er VI (F3x)","2011",NULL,NULL,NULL
"118","144","BMW 3er V (E9x)","2005","2013",NULL,NULL
"119","144","BMW 3er IV (E46)","1998","2006",NULL,NULL
"120","144","BMW 3er III (E36)","1990","2000",NULL,NULL
"121","144","BMW 3er II (E30)","1982","1994",NULL,NULL
"122","144","BMW 3er I (E21)","1975","1984",NULL,NULL
"124","146","BMW 5er VI (F1x) Рестайлинг","2013",NULL,NULL,NULL
"125","146","BMW 5er VI (F1x)","2009","2013",NULL,NULL
"126","146","BMW 5er V (E6x)","2002","2010",NULL,NULL
"127","146","BMW 5er IV (E39)","1995","2003",NULL,NULL
"128","146","BMW 5er III (E34)","1988","1997",NULL,NULL
"129","146","BMW 5er II (E28)","1981","1988",NULL,NULL
"130","146","BMW 5er I (E12)","1972","1981",NULL,NULL
"131","147","BMW 6er III (F06/F13/F12)","2011",NULL,NULL,NULL
"132","147","BMW 6er II (E63/E64)","2003","2010",NULL,NULL
"133","147","BMW 6er I (E24)","1976","1990",NULL,NULL
"134","149","BMW 8er E31","1989","1999",NULL,NULL
"135","152","BMW X1 I (E84) Рестайлинг","2012",NULL,NULL,NULL
"136","152","BMW X1 I (E84)","2009","2012",NULL,NULL
"137","153","BMW X3 II (F25) Рестайлинг","2014",NULL,NULL,NULL
"138","153","BMW X3 II (F25)","2010","2014",NULL,NULL
"139","153","BMW X3 I (E83)","2003","2010",NULL,NULL
"140","155","BMW X5 III (F15)","2013",NULL,NULL,NULL
"141","155","BMW X5 II (E70) Рестайлинг","2010","2013",NULL,NULL
"142","155","BMW X5 II (E70)","2006","2011",NULL,NULL
"143","155","BMW X5 I (E53)","1999","2006",NULL,NULL
"144","156","BMW X6 II (F16)","2014",NULL,NULL,NULL
"145","156","BMW X6 I (E71) Рестайлинг","2012",NULL,NULL,NULL
"146","156","BMW X6 I (E71)","2007","2012",NULL,NULL
"148","159","BMW Z4 II (E89)","2009",NULL,NULL,NULL
"149","159","BMW Z4 I (E85/E86)","2003","2009",NULL,NULL
"150","161","BMW Alpina 3er VI (F30)","2013",NULL,NULL,NULL
"151","161","BMW Alpina 3er V (E90)","2005","2013",NULL,NULL
"152","161","BMW Alpina 3er IV (E46)","1999","2006",NULL,NULL
"153","161","BMW Alpina 3er III (E36)","1992","1999",NULL,NULL
"154","161","BMW Alpina 3er II (E30)","1983","1992",NULL,NULL
"155","161","BMW Alpina 3er I (E21)","1978","1983",NULL,NULL
"156","163","BMW Alpina 5er VI (F10/11)","2011",NULL,NULL,NULL
"157","163","BMW Alpina 5er V (E60/61)","2005","2010",NULL,NULL
"158","163","BMW Alpina 5er IV (E39)","1997","2004",NULL,NULL
"159","163","BMW Alpina 5er III (E34)","1988","1996",NULL,NULL
"160","163","BMW Alpina 5er II (E28)","1983","1987",NULL,NULL
"161","163","BMW Alpina 5er I (E12)","1978","1982",NULL,NULL
"162","164","BMW Alpina 6er III (F12/F13)","2011",NULL,NULL,NULL
"163","164","BMW Alpina 6er II (E63/64)","2005","2010",NULL,NULL
"164","164","BMW Alpina 6er I (E24)","1978","1988",NULL,NULL
"165","165","BMW Alpina 7er V (F01)","2010",NULL,NULL,NULL
"166","165","BMW Alpina 7er IV (E65/66)","2005","2008",NULL,NULL
"167","165","BMW Alpina 7er III (E38)","1995","2001",NULL,NULL
"168","165","BMW Alpina 7er II (E32)","1987","1994",NULL,NULL
"169","165","BMW Alpina 7er I (E23)","1979","1986",NULL,NULL
"170","166","BMW Alpina 8er E31","1990","1996",NULL,NULL
"171","167","BMW Alpina Roadster III (Z4)","2003","2005",NULL,NULL
"172","167","BMW Alpina Roadster II (Z8)","2002","2003",NULL,NULL
"173","167","BMW Alpina Roadster I (Z1)","1990","1991",NULL,NULL
"174","173","Brilliance M1 (BS6) I Рестайлинг","2009",NULL,NULL,NULL
"175","173","Brilliance M1 (BS6) I","2005","2009",NULL,NULL
"176","174","Brilliance M2 (BS4) I Рестайлинг","2010",NULL,NULL,NULL
"177","174","Brilliance M2 (BS4) I","2006","2010",NULL,NULL
"178","177","Bristol Blenheim Series 3","2000","2011",NULL,NULL
"179","177","Bristol Blenheim Series 2","1997","2000",NULL,NULL
"180","177","Bristol Blenheim Series 1","1993","1997",NULL,NULL
"182","185","Buick Century VI","1997","2005",NULL,NULL
"183","185","Buick Century V","1982","1996",NULL,NULL
"184","186","Buick Electra VI","1985","1990",NULL,NULL
"185","186","Buick Electra V","1977","1984",NULL,NULL
"186","188","Buick Excelle II","2009",NULL,NULL,NULL
"187","188","Buick Excelle I","2004","2007",NULL,NULL
"188","189","Buick GL8 II","2011",NULL,NULL,NULL
"189","189","Buick GL8 I","2000","2011",NULL,NULL
"190","190","Buick LaCrosse II","2010","2013",NULL,NULL
"191","190","Buick LaCrosse I (China)","2007","2009",NULL,NULL
"192","190","Buick LaCrosse I (North America)","2004","2009",NULL,NULL
"193","191","Buick LeSabre VIII","1999","2005",NULL,NULL
"194","191","Buick LeSabre VII","1992","1999",NULL,NULL
"195","191","Buick LeSabre VI","1986","1991",NULL,NULL
"196","191","Buick LeSabre V","1977","1988",NULL,NULL
"197","193","Buick Park Avenue III","2007",NULL,NULL,NULL
"198","193","Buick Park Avenue II","1996","2005",NULL,NULL
"199","193","Buick Park Avenue I","1991","1996",NULL,NULL
"201","196","Buick Regal V","2009",NULL,NULL,NULL
"202","196","Buick Regal IV","1997","2008",NULL,NULL
"203","196","Buick Regal III","1988","1997",NULL,NULL
"204","198","Buick Riviera VIII","1994","2000",NULL,NULL
"205","198","Buick Riviera VI","1979","1985",NULL,NULL
"206","198","Buick Riviera III","1971","1973",NULL,NULL
"212","220","Cadillac CTS III","2013",NULL,NULL,NULL
"213","220","Cadillac CTS II","2007","2013",NULL,NULL
"214","220","Cadillac CTS I","2002","2007",NULL,NULL
"215","221","Cadillac De Ville VIII","1999","2005",NULL,NULL
"216","221","Cadillac De Ville VII","1994","1999",NULL,NULL
"217","221","Cadillac De Ville VI","1985","1993",NULL,NULL
"218","221","Cadillac De Ville V","1977","1984",NULL,NULL
"219","223","Cadillac Eldorado XI","1992","2002",NULL,NULL
"220","223","Cadillac Eldorado X","1986","1991",NULL,NULL
"221","223","Cadillac Eldorado IX","1979","1985",NULL,NULL
"222","224","Cadillac Escalade IV","2014",NULL,NULL,NULL
"223","224","Cadillac Escalade III","2007","2014",NULL,NULL
"224","224","Cadillac Escalade II","2002","2006",NULL,NULL
"225","224","Cadillac Escalade I","1998","2002",NULL,NULL
"226","225","Cadillac Fleetwood II","1993","1996",NULL,NULL
"227","225","Cadillac Fleetwood I","1984","1992",NULL,NULL
"228","227","Cadillac Seville V","1998","2004",NULL,NULL
"229","227","Cadillac Seville IV","1992","1997",NULL,NULL
"230","227","Cadillac Seville III","1986","1991",NULL,NULL
"231","227","Cadillac Seville II","1980","1985",NULL,NULL
"232","227","Cadillac Seville I","1975","1979",NULL,NULL
"233","228","Cadillac Sixty Special X","1971","1976",NULL,NULL
"234","229","Cadillac SRX II","2010",NULL,NULL,NULL
"235","229","Cadillac SRX I","2003","2010",NULL,NULL
"238","4","AC Cobra Mk VI","2013",NULL,NULL,NULL
"239","4","AC Cobra Mk V","1999","2007",NULL,NULL
"240","4","AC Cobra Mk IV","1990","2001",NULL,NULL
"241","72","Aston Martin V8 Vantage III Рестайлинг","2008",NULL,NULL,NULL
"242","72","Aston Martin V8 Vantage III","2005","2008",NULL,NULL
"243","72","Aston Martin V8 Vantage II","1992","1999",NULL,NULL
"244","72","Aston Martin V8 Vantage I","1969","1989",NULL,NULL
"245","76","Audi 200 II (C3)","1983","1991",NULL,NULL
"246","76","Audi 200 I (C2)","1979","1982",NULL,NULL
"247","79","Audi 90 II (B3)","1987","1991",NULL,NULL
"248","79","Audi 90 I (B2)","1984","1987",NULL,NULL
"249","83","Audi A4 allroad IV (B8) Рестайлинг","2009",NULL,NULL,NULL
"250","83","Audi A4 allroad IV (B8)","2009","2011",NULL,NULL
"251","87","Audi A6 IV (C7)","2011","2014",NULL,NULL
"252","87","Audi A6 III (C6)","2004","2011",NULL,NULL
"253","87","Audi A6 II (C5) Рестайлинг","2001","2004",NULL,NULL
"254","87","Audi A6 II (C5)","1997","2001",NULL,NULL
"255","87","Audi A6 I (C4)","1994","1997",NULL,NULL
"256","91","Audi Coupe II (B3)","1988","1996",NULL,NULL
"257","91","Audi Coupe I (B2)","1980","1988",NULL,NULL
"258","94","Audi Q5 I Рестайлинг","2012",NULL,NULL,NULL
"259","94","Audi Q5 I","2008","2012",NULL,NULL
"261","108","Audi S4 IV (B8) Рестайлинг","2012",NULL,NULL,NULL
"262","108","Audi S4 IV (B8)","2008","2011",NULL,NULL
"263","108","Audi S4 III (B7)","2004","2008",NULL,NULL
"264","108","Audi S4 II (B6)","2002","2004",NULL,NULL
"265","108","Audi S4 I (B5)","1997","2001",NULL,NULL
"267","129","Bentley Azure II","2005","2009",NULL,NULL
"268","129","Bentley Azure I","1995","2005",NULL,NULL
"269","136","Bentley Mulsanne II","2010",NULL,NULL,NULL
"270","136","Bentley Mulsanne I","1980","1993",NULL,NULL
"271","148","BMW 7er V (F01/F02/F04) Рестайлинг","2012",NULL,NULL,NULL
"272","148","BMW 7er V (F01/F02/F04)","2008","2012",NULL,NULL
"273","148","BMW 7er IV (E6x)","2001","2008",NULL,NULL
"274","148","BMW 7er III (E38)","1994","2001",NULL,NULL
"275","148","BMW 7er II (E32)","1986","1994",NULL,NULL
"276","148","BMW 7er I (E23)","1977","1986",NULL,NULL
"277","256","Chery Tiggo (T11) I Рестайлинг (FL)","2012",NULL,NULL,NULL
"278","256","Chery Tiggo (T11) I","2005",NULL,NULL,NULL
"280","261","Chevrolet Avalanche II","2006","2013",NULL,NULL
"281","261","Chevrolet Avalanche I","2001","2006",NULL,NULL
"282","262","Chevrolet Aveo II","2012",NULL,NULL,NULL
"283","262","Chevrolet Aveo I Рестайлинг","2006","2012",NULL,NULL
"284","262","Chevrolet Aveo I","2003","2008",NULL,NULL
"285","264","Chevrolet Blazer II","1994","1998",NULL,NULL
"286","264","Chevrolet Blazer I","1983","1994",NULL,NULL
"287","265","Chevrolet Blazer K5 III","1992","2001",NULL,NULL
"288","265","Chevrolet Blazer K5 II","1973","1991",NULL,NULL
"289","267","Chevrolet Camaro V Рестайлинг","2013",NULL,NULL,NULL
"290","267","Chevrolet Camaro V","2008","2013",NULL,NULL
"291","267","Chevrolet Camaro IV","1992","2002",NULL,NULL
"292","267","Chevrolet Camaro III","1982","1992",NULL,NULL
"293","268","Chevrolet Caprice VI","2006",NULL,NULL,NULL
"294","268","Chevrolet Caprice V","1999","2006",NULL,NULL
"295","268","Chevrolet Caprice IV","1990","1998",NULL,NULL
"296","268","Chevrolet Caprice III","1976","1990",NULL,NULL
"297","269","Chevrolet Captiva I Рестайлинг 2","2013",NULL,NULL,NULL
"298","269","Chevrolet Captiva I Рестайлинг","2011","2013",NULL,NULL
"299","269","Chevrolet Captiva I","2006","2011",NULL,NULL
"300","270","Chevrolet Cavalier III","1995","2005",NULL,NULL
"301","270","Chevrolet Cavalier II","1988","1994",NULL,NULL
"302","270","Chevrolet Cavalier I","1982","1987",NULL,NULL
"303","276","Chevrolet Cobalt II","2011",NULL,NULL,NULL
"304","276","Chevrolet Cobalt I","2004","2011",NULL,NULL
"307","280","Chevrolet Corvette C7 Stingray","2013",NULL,NULL,NULL
"308","280","Chevrolet Corvette C6","2004","2013",NULL,NULL
"309","280","Chevrolet Corvette C5","1997","2004",NULL,NULL
"310","280","Chevrolet Corvette C4","1984","1998",NULL,NULL
"311","282","Chevrolet Cruze I Рестайлинг","2013",NULL,NULL,NULL
"312","282","Chevrolet Cruze I","2009","2013",NULL,NULL
"313","284","Chevrolet Equinox II","2009",NULL,NULL,NULL
"314","284","Chevrolet Equinox I","2004","2009",NULL,NULL
"315","286","Chevrolet Express II","2003",NULL,NULL,NULL
"316","286","Chevrolet Express I","1996","2002",NULL,NULL
"317","288","Chevrolet Impala IX","2006","2013",NULL,NULL
"318","288","Chevrolet Impala VIII","1999","2006",NULL,NULL
"319","288","Chevrolet Impala VII","1994","1996",NULL,NULL
"322","295","Chevrolet Malibu VIII Рестайлинг","2013",NULL,NULL,NULL
"323","295","Chevrolet Malibu VIII","2011","2014",NULL,NULL
"324","295","Chevrolet Malibu VII","2008","2012",NULL,NULL
"325","295","Chevrolet Malibu VI","2004","2008",NULL,NULL
"326","295","Chevrolet Malibu V","1996","2004",NULL,NULL
"327","295","Chevrolet Malibu IV","1978","1983",NULL,NULL
"329","297","Chevrolet Monte Carlo VI","1999","2007",NULL,NULL
"330","297","Chevrolet Monte Carlo V","1994","1999",NULL,NULL
"331","300","Chevrolet Niva I Рестайлинг","2009",NULL,NULL,NULL
"332","300","Chevrolet Niva I","2002","2009",NULL,NULL
"334","302","Chevrolet Omega B","1998","2004",NULL,NULL
"335","302","Chevrolet Omega A","1992","1998",NULL,NULL
"338","309","Chevrolet Spark III","2009",NULL,NULL,NULL
"339","309","Chevrolet Spark II","2005","2009",NULL,NULL
"340","312","Chevrolet Suburban XII","2014",NULL,NULL,NULL
"341","312","Chevrolet Suburban XI","2007","2013",NULL,NULL
"342","312","Chevrolet Suburban X","2000","2006",NULL,NULL
"343","312","Chevrolet Suburban IX","1991","2001",NULL,NULL
"344","312","Chevrolet Suburban VIII","1973","1991",NULL,NULL
"345","313","Chevrolet Tahoe IV","2014",NULL,NULL,NULL
"346","313","Chevrolet Tahoe III","2007","2014",NULL,NULL
"347","313","Chevrolet Tahoe II","1999","2007",NULL,NULL
"348","313","Chevrolet Tahoe I","1995","1999",NULL,NULL
"349","315","Chevrolet Tracker II (Trax)","2013",NULL,NULL,NULL
"350","315","Chevrolet Tracker I","1998","2004",NULL,NULL
"351","316","Chevrolet TrailBlazer II","2012",NULL,NULL,NULL
"352","316","Chevrolet TrailBlazer I","2001","2010",NULL,NULL
"354","319","Chrysler 300C II","2011",NULL,NULL,NULL
"355","319","Chrysler 300C I","2004","2010",NULL,NULL
"356","323","Chrysler Concorde II","1997","2004",NULL,NULL
"357","323","Chrysler Concorde I","1992","1997",NULL,NULL
"359","326","Chrysler Fifth Avenue II","1990","1993",NULL,NULL
"360","326","Chrysler Fifth Avenue I","1982","1989",NULL,NULL
"361","328","Chrysler Intrepid II","1998","2004",NULL,NULL
"362","328","Chrysler Intrepid I","1993","1997",NULL,NULL
"364","330","Chrysler LHS II","1999","2001",NULL,NULL
"365","330","Chrysler LHS I","1994","1997",NULL,NULL
"366","332","Chrysler Neon II","1999","2005",NULL,NULL
"367","332","Chrysler Neon I","1994","1999",NULL,NULL
"368","333","Chrysler NEW Yorker XIII","1994","1996",NULL,NULL
"369","333","Chrysler NEW Yorker XII","1989","1993",NULL,NULL
"371","338","Chrysler Sebring III","2006","2010",NULL,NULL
"372","338","Chrysler Sebring II","2000","2007",NULL,NULL
"373","338","Chrysler Sebring I","1994","2000",NULL,NULL
"375","341","Chrysler Town & Country V","2008",NULL,NULL,NULL
"376","341","Chrysler Town & Country IV","2001","2007",NULL,NULL
"377","341","Chrysler Town & Country III","1995","2001",NULL,NULL
"378","341","Chrysler Town & Country II","1990","1994",NULL,NULL
"380","344","Chrysler Voyager V Рестайлинг","2011",NULL,NULL,NULL
"381","344","Chrysler Voyager V","2008",NULL,NULL,NULL
"382","344","Chrysler Voyager IV","2001","2008",NULL,NULL
"383","344","Chrysler Voyager III","1995","2000",NULL,NULL
"384","344","Chrysler Voyager II","1991","1995",NULL,NULL
"385","344","Chrysler Voyager I","1988","1990",NULL,NULL
"388","348","Citroen Berlingo II","2008",NULL,NULL,NULL
"389","348","Citroen Berlingo I","1996","2008",NULL,NULL
"392","354","Citroen C3 II Рестайлинг","2013",NULL,NULL,NULL
"393","354","Citroen C3 II","2009","2013",NULL,NULL
"394","354","Citroen C3 I","2002","2009",NULL,NULL
"395","355","Citroen C3 Picasso I Рестайлинг","2012",NULL,NULL,NULL
"396","355","Citroen C3 Picasso I","2009",NULL,NULL,NULL
"397","358","Citroen C4 II","2010",NULL,NULL,NULL
"398","358","Citroen C4 I","2004",NULL,NULL,NULL
"399","359","Citroen C4 Picasso II","2013",NULL,NULL,NULL
"400","359","Citroen C4 Picasso I","2006","2013",NULL,NULL
"401","360","Citroen C5 II","2008",NULL,NULL,NULL
"402","360","Citroen C5 I","2001","2008",NULL,NULL
"403","362","Citroen C8 II","2008",NULL,NULL,NULL
"404","362","Citroen C8 I","2002","2008",NULL,NULL
"405","363","Citroen CX II","1983","1995",NULL,NULL
"406","363","Citroen CX I","1974","1986",NULL,NULL
"410","373","Citroen Xantia II","1998","2003",NULL,NULL
"411","373","Citroen Xantia I","1993","1998",NULL,NULL
"412","374","Citroen XM II","1994","2000",NULL,NULL
"413","374","Citroen XM I","1989","1994",NULL,NULL
"418","384","Dacia Duster I Рестайлинг","2013",NULL,NULL,NULL
"419","384","Dacia Duster I","2010","2013",NULL,NULL
"420","386","Dacia Logan II","2012",NULL,NULL,NULL
"421","386","Dacia Logan I","2004","2012",NULL,NULL
"422","388","Dacia Sandero II","2013",NULL,NULL,NULL
"423","388","Dacia Sandero I","2008","2012",NULL,NULL
"424","395","Daewoo Damas II","2005",NULL,NULL,NULL
"425","395","Daewoo Damas I","1991","2004",NULL,NULL
"426","399","Daewoo Gentra II","2013",NULL,NULL,NULL
"427","399","Daewoo Gentra I","2005","2011",NULL,NULL
"432","407","Daewoo Matiz I Рестайлинг","2000",NULL,NULL,NULL
"433","407","Daewoo Matiz I","1998","2000",NULL,NULL
"434","409","Daewoo Nexia I Рестайлинг","2008",NULL,NULL,NULL
"435","409","Daewoo Nexia I","1995","2008",NULL,NULL
"436","410","Daewoo Nubira III","2002",NULL,NULL,NULL
"437","410","Daewoo Nubira II","2000","2002",NULL,NULL
"438","410","Daewoo Nubira I","1997","2000",NULL,NULL
"442","420","Daihatsu Altis III (SXV40)","2006","2010",NULL,NULL
"443","420","Daihatsu Altis II (SXV30)","2001","2006",NULL,NULL
"444","420","Daihatsu Altis I (SXV20)","2000","2001",NULL,NULL
"445","421","Daihatsu Applause II","1997","2000",NULL,NULL
"446","421","Daihatsu Applause I","1989","1997",NULL,NULL
"447","426","Daihatsu Charade IV","1993","2000",NULL,NULL
"448","426","Daihatsu Charade III","1987","1992",NULL,NULL
"449","426","Daihatsu Charade II","1983","1987",NULL,NULL
"450","426","Daihatsu Charade I","1977","1983",NULL,NULL
"451","429","Daihatsu Copen II","2014",NULL,NULL,NULL
"452","429","Daihatsu Copen I","2002","2012",NULL,NULL
"453","430","Daihatsu Cuore VII (L275)","2006",NULL,NULL,NULL
"454","430","Daihatsu Cuore VI (L250)","2003","2006",NULL,NULL
"455","430","Daihatsu Cuore V (L700)","1998","2003",NULL,NULL
"456","430","Daihatsu Cuore IV (L500)","1995","1998",NULL,NULL
"457","430","Daihatsu Cuore III (L200)","1990","1994",NULL,NULL
"458","430","Daihatsu Cuore II (L70)","1985","1990",NULL,NULL
"459","430","Daihatsu Cuore I (L55)","1980","1985",NULL,NULL
"462","438","Daihatsu Mira Gino II","2004","2009",NULL,NULL
"463","438","Daihatsu Mira Gino I","1999","2004",NULL,NULL
"464","439","Daihatsu Mira VII","2006",NULL,NULL,NULL
"465","439","Daihatsu Mira VI","2003","2006",NULL,NULL
"466","439","Daihatsu Mira V","1998","2003",NULL,NULL
"469","445","Daihatsu Sirion M2","2005",NULL,NULL,NULL
"470","445","Daihatsu Sirion M1","1998","2005",NULL,NULL
"471","450","Daihatsu Terios II","2006",NULL,NULL,NULL
"472","450","Daihatsu Terios I","1997","2006",NULL,NULL
"474","466","Datsun Cherry II","1974","1978",NULL,NULL
"475","466","Datsun Cherry I","1970","1974",NULL,NULL
"480","488","Dodge Avenger II","2007",NULL,NULL,NULL
"481","488","Dodge Avenger I","1994","2000",NULL,NULL
"482","490","Dodge Caravan IV","2001","2007",NULL,NULL
"483","490","Dodge Caravan III","1995","2001",NULL,NULL
"484","490","Dodge Caravan II","1990","1995",NULL,NULL
"485","490","Dodge Caravan I","1984","1990",NULL,NULL
"486","491","Dodge Challenger III","2008",NULL,NULL,NULL
"487","491","Dodge Challenger II","1978","1983",NULL,NULL
"488","491","Dodge Challenger I","1962","1974",NULL,NULL
"489","492","Dodge Charger II","2010",NULL,NULL,NULL
"490","492","Dodge Charger I","2005","2010",NULL,NULL
"491","493","Dodge Dakota III","2005","2011",NULL,NULL
"492","493","Dodge Dakota II","1999","2005",NULL,NULL
"493","493","Dodge Dakota I","1987","1996",NULL,NULL
"494","496","Dodge Durango III","2010",NULL,NULL,NULL
"495","496","Dodge Durango II","2004","2008",NULL,NULL
"496","496","Dodge Durango I","1998","2004",NULL,NULL
"497","498","Dodge Grand Caravan V","2007",NULL,NULL,NULL
"498","498","Dodge Grand Caravan IV","2001","2007",NULL,NULL
"499","498","Dodge Grand Caravan III","1995","2001",NULL,NULL
"500","498","Dodge Grand Caravan II","1990","1995",NULL,NULL
"501","499","Dodge Intrepid II","1998","2004",NULL,NULL
"502","499","Dodge Intrepid I","1992","1998",NULL,NULL
"503","503","Dodge Neon II","1999","2005",NULL,NULL
"504","503","Dodge Neon I","1993","2001",NULL,NULL
"505","506","Dodge RAM IV (DS/DJ)","2009",NULL,NULL,NULL
"506","506","Dodge RAM III (DR/DH)","2001","2009",NULL,NULL
"507","506","Dodge RAM II (BR/BE)","1994","2001",NULL,NULL
"508","506","Dodge RAM I (D/W)","1981","1993",NULL,NULL
"509","507","Dodge Ramcharger II","1981","1993",NULL,NULL
"510","507","Dodge Ramcharger III","1981","1993",NULL,NULL
